# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC001226.2	ENSG00000283208	ENST00000461131	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC001226.2	ENSG00000283208	ENST00000635838	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC001226.2	ENSG00000283208	ENST00000637192	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC001226.2	ENSG00000283208	ENST00000638101	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC001226.2	ENSG00000283208	ENST00000638147	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC003002.2	ENSG00000268533	ENST00000597410	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
AC003005.2	ENSG00000268266	ENST00000594562		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC003005.2	ENSG00000268266	ENST00000595422		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004076.1	ENSG00000268163	ENST00000415705	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC004076.1	ENSG00000268163	ENST00000596831	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC004233.1	ENSG00000262362	ENST00000570515		0	0	0	15	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
AC004233.2	ENSG00000272079	ENST00000607794		0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
AC004461.1	ENSG00000206739	ENST00000384012	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004542.4	ENSG00000276057	ENST00000614234	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004542.5	ENSG00000276664	ENST00000610654	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004943.2	ENSG00000259768	ENST00000563328		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC004943.2	ENSG00000259768	ENST00000653037		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC004943.2	ENSG00000259768	ENST00000668995		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC005041.3	ENSG00000272183	ENST00000606287		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005258.1	ENSG00000273734	ENST00000621615	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC005995.1	ENSG00000201990	ENST00000365120	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC007326.4	ENSG00000283809	ENST00000638240	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC007326.5	ENSG00000284294	ENST00000638287	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC007326.5	ENSG00000284294	ENST00000640084		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC007493.2	ENSG00000261393	ENST00000568427		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC008474.1	ENSG00000267557	ENST00000589127		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC008481.3	ENSG00000267477	ENST00000585656	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC009065.3	ENSG00000259933	ENST00000563284		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC009065.3	ENSG00000259933	ENST00000570072		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC009065.6	ENSG00000261123	ENST00000565937		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC009509.2	ENSG00000256377	ENST00000536317		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC009509.2	ENSG00000256377	ENST00000536922		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC009509.2	ENSG00000256377	ENST00000542660		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC009509.2	ENSG00000256377	ENST00000656583		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC009554.1	ENSG00000259564	ENST00000642740		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC010285.3	ENSG00000285865	ENST00000649184		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC011462.1	ENSG00000255730	ENST00000540732	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC011462.1	ENSG00000255730	ENST00000604424	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC011472.1	ENSG00000267082	ENST00000588634		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC011472.5	ENSG00000279807	ENST00000624079	TEC	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC011491.1	ENSG00000214347	ENST00000593563	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC011491.1	ENSG00000214347	ENST00000596254	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC011491.1	ENSG00000214347	ENST00000637688	transcribed_unitary_pseudogene	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC012073.1	ENSG00000271936	ENST00000606114		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC013356.4	ENSG00000259368	ENST00000558421		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC019171.1	ENSG00000269210	ENST00000601251		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC019197.1	ENSG00000236283	ENST00000625505		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC019197.1	ENSG00000236283	ENST00000629817		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC022150.4	ENSG00000269825	ENST00000598322		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC024563.1	ENSG00000268981	ENST00000601860		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC025265.2	ENSG00000257737	ENST00000551905		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC026803.2	ENSG00000267898	ENST00000594305		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC026803.2	ENSG00000267898	ENST00000599784		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC034193.1	ENSG00000287086	ENST00000660063		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC037479.1	ENSG00000259257	ENST00000558361	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC060814.3	ENSG00000275174	ENST00000612037	snRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC068385.1	ENSG00000255498	ENST00000533218		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC073957.2	ENSG00000257607	ENST00000549241		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC074008.2	ENSG00000285068	ENST00000646469		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC091073.1	ENSG00000207105	ENST00000384377	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC092042.3	ENSG00000273291	ENST00000451200	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC092316.1	ENSG00000268618	ENST00000598703		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC093390.1	ENSG00000232057	ENST00000426976		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC093422.2	ENSG00000225063	ENST00000452599		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC093525.1	ENSG00000259784	ENST00000569317	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC104109.4	ENSG00000273345	ENST00000518409		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC104109.4	ENSG00000273345	ENST00000520515	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC104530.1	ENSG00000288156	ENST00000672226		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC104809.2	ENSG00000233392	ENST00000418218		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC105450.1	ENSG00000231482	ENST00000650512		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC107023.1	ENSG00000258167	ENST00000552757		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC108134.3	ENSG00000262370	ENST00000571404		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC108134.3	ENSG00000262370	ENST00000574387		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC108134.3	ENSG00000262370	ENST00000665606		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC108519.1	ENSG00000288075	ENST00000658713		0	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
AC108519.1	ENSG00000288075	ENST00000666840		0	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
AC110285.4	ENSG00000263271	ENST00000572590		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC112128.1	ENSG00000285943	ENST00000649772	nonsense_mediated_decay	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC113348.2	ENSG00000285978	ENST00000638723	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC123768.3	ENSG00000262728	ENST00000613733		0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
AC123768.3	ENSG00000262728	ENST00000613931		0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
AC123768.3	ENSG00000262728	ENST00000656039		0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
AC123768.5	ENSG00000285948	ENST00000647892		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC124319.1	ENSG00000262979	ENST00000576808		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC125257.2	ENSG00000274630	ENST00000619176		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC138466.4	ENSG00000279480	ENST00000623965	TEC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC233724.6	ENSG00000249282	ENST00000511476	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC243772.2	ENSG00000233030	ENST00000428289		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC244517.10	ENSG00000279983	ENST00000624396	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC244517.11	ENSG00000280029	ENST00000623336		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC244517.11	ENSG00000280029	ENST00000624424		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC244517.11	ENSG00000280029	ENST00000624560		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC245052.7	ENSG00000269524	ENST00000601161		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AC253536.1	ENSG00000224205	ENST00000437021	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC253536.7	ENSG00000285762	ENST00000404092	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACBD5	ENSG00000107897	ENST00000375888	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACBD5	ENSG00000107897	ENST00000375897	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACBD5	ENSG00000107897	ENST00000375901	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACBD5	ENSG00000107897	ENST00000375905	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACBD5	ENSG00000107897	ENST00000396271	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACBD5	ENSG00000107897	ENST00000476758	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACLY	ENSG00000131473	ENST00000352035	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACLY	ENSG00000131473	ENST00000353196	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACLY	ENSG00000131473	ENST00000393896	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACLY	ENSG00000131473	ENST00000537919	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACLY	ENSG00000131473	ENST00000588779	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACLY	ENSG00000131473	ENST00000590151	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP1	ENSG00000143727	ENST00000272065	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACP1	ENSG00000143727	ENST00000272067	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACP1	ENSG00000143727	ENST00000405233	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP1	ENSG00000143727	ENST00000405364	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP1	ENSG00000143727	ENST00000407983	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP1	ENSG00000143727	ENST00000413140	nonsense_mediated_decay	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ACP1	ENSG00000143727	ENST00000439645	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP1	ENSG00000143727	ENST00000442386	nonsense_mediated_decay	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ACP1	ENSG00000143727	ENST00000453390	nonsense_mediated_decay	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ACP1	ENSG00000143727	ENST00000463831	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ACP1	ENSG00000143727	ENST00000480874	retained_intron	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP1	ENSG00000143727	ENST00000484464	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000262607	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000330232	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000399837	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000399839	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000449907	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000480276	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADA2	ENSG00000093072	ENST00000610390	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000648061	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000648343	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000648668	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADA2	ENSG00000093072	ENST00000649540	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000649915	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADA2	ENSG00000093072	ENST00000650635	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAM19	ENSG00000135074	ENST00000257527	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAM19	ENSG00000135074	ENST00000517905	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAM19	ENSG00000135074	ENST00000517951	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADCY3	ENSG00000138031	ENST00000260600	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADCY3	ENSG00000138031	ENST00000405392	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADCY3	ENSG00000138031	ENST00000455323	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCY3	ENSG00000138031	ENST00000485887	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADCY3	ENSG00000138031	ENST00000498288	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADCY3	ENSG00000138031	ENST00000606682	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRE2	ENSG00000127507	ENST00000315576	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ADGRE2	ENSG00000127507	ENST00000360222	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADGRE2	ENSG00000127507	ENST00000392962	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
